Console,Game,Proper Name,Type,Hack Of,Description
GB & GBC,pokemon cock,Pokémon Cock (mature Red/Blue hack),ROM Hack,Pokémon Red/Blue,"A crude, mature parody hack of Red/Blue with raunchy dialogue and humor; intended for adult audiences."
GB & GBC,pokemon creepy black gbc,Pokémon Creepy Black (GBC version),ROM Hack,Pokémon Red,"A faithful recreation of the famous 'Pokémon Black' creepypasta, featuring the ghost Pokémon and the screen-blackening 'Curse' move."
GBA,F-Zero Climax,F-Zero Climax (fan translation),Translation,,"The final F-Zero game, a fast futuristic racer with a track editor; released only in Japan and played in English via fan translation."
GBA,pokemon eclipse,Pokémon Eclipse (FireRed hack),ROM Hack,Pokémon FireRed,A FireRed hack set in the new Soala region with an original story (left unfinished after the 4th gym).
GBA,dragon ball z,Dragon Ball Z: Team Training (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack reskinned as Dragon Ball Z (DBZ: Team Training) where you catch and train DBZ characters instead of Pokémon, with 130+ new attacks."
GBA,pokemon Alternate-Evolutions,Pokémon Alternate Evolutions,ROM Hack,Pokémon FireRed,"A FireRed hack that gives many Pokémon brand-new alternate evolutions, changing how familiar species develop."
GBA,pokemon ashgray,Pokémon Ash Gray,ROM Hack,Pokémon FireRed,"A FireRed hack that retells the anime's Kanto journey, letting you play as Ash and recreate iconic episodes."
GBA,pokemon eternal snow,Pokémon Eternal Snow,ROM Hack,Pokémon Emerald,"A large-scale Emerald hack by Reshiram with three leagues, 18 gyms, 600+ Pokémon, the Fairy type, and multiple regions."
GBA,pokemon league of legends,Pokémon League of Legends (Emerald hack),ROM Hack,Pokémon Emerald,"An Emerald hack that merges Pokémon with League of Legends, letting you collect animated Champions and battle through Valoran."
GBA,pokemon marble,Pokémon Marble (FireRed hack by Baro),ROM Hack,Pokémon FireRed,"A story-heavy FireRed hack by Baro (creator of Quartz), set in the country of Lowheaven with original Pokémon and dark themes of mortality."
GBA,pokemon Mewtwo strikes back,Pokémon Ash Kanto: Mewtwo Strikes Back (FireRed hack),ROM Hack,Pokémon FireRed,A FireRed hack (Ash Kanto: Mewtwo Strikes Back) recreating the events of the first Pokémon movie with you playing as Ash.
GBA,pokemon Mirage of tales,Pokémon Mirage of Tales (Emerald hack by Avara),ROM Hack,Pokémon Emerald,"An Emerald hack with choice-based storytelling and a class/career system (Ranger, Criminal, Journalist, etc.) on a modern battle engine."
GBA,pokemon sovereign,Pokémon Sovereign of the Skies,ROM Hack,Pokémon FireRed,"A FireRed hack, Sovereign of the Skies, featuring an original region and a story centered on legendary sky Pokémon."
GBA,pokemon sweet version,Pokémon Sweet Version,ROM Hack,Pokémon FireRed,"A FireRed hack by Ephraim225 set in a 'Candyland' Kanto where everything is made of sweets; you catch 151 dessert-themed Pokésweets, use a 12-flavor ice-cream type chart, and cook recipes."
GBA,pokemon yellow legacy,Pokémon Yellow Legacy,ROM Hack,Pokémon FireRed,A FireRed hack that faithfully recreates Pokémon Yellow with light balance tweaks and quality-of-life improvements.
GBA,FE corrupt,Fire Emblem: The Corrupt Theocracy,ROM Hack,Fire Emblem: The Sacred Stones (FE8),"A fan-made strategy-RPG campaign built on Fire Emblem: The Sacred Stones (FE8), with an original story and maps."
GBA,FE last,Fire Emblem: The Last Promise,ROM Hack,Fire Emblem: Blazing Blade (FE7),An acclaimed full-length Fire Emblem fan campaign (FE7) — one of the first 'complete' hacks — following a rebellion against an empire.
GBA,FE requiem,Fire Emblem: Requiem,ROM Hack,Fire Emblem: Blazing Blade (FE7),A story-driven Fire Emblem fan campaign (FE7) of ~26 chapters about feuding noble houses.
GBA,pokemon A Grand day out,Pokémon: A Grand Day Out,ROM Hack,Pokémon LeafGreen,"A short, polished mini-hack by Cutlerine (made for a PokéCommunity Speedhacking contest) where Team Rocket is blowing up Route 1 to catch a Cubone, with sharp, funny dialogue and the option to dress as a Rocket grunt."
GBA,pokemon Advance Adventures,Pokémon Advanced Adventure,ROM Hack,Pokémon LeafGreen,"A LeafGreen hack by dbzmay set in the new Kuland region, where a bullied, poor kid is tasked with toppling a usurper and his eight genetically-modified 'tyrant' Pokémon; Pokémon up to Gen 5 and a god-battling post-game."
GBA,pokemon Altair,Pokémon Altair,ROM Hack,Pokémon Emerald,"An Emerald hack from the Vega team, paired with Sirius, set in an original region full of new Fakemon (Japanese, fan-translated)."
GBA,pokemon AshsQuest,Pokémon Ash's Quest,ROM Hack,Pokémon FireRed,"A FireRed hack by ice_nine that recreates the first 82 episodes of the anime — the St. Anne, Sabrina's gym, the banned episodes, singing Jigglypuff — with no random trainers or wild Pokémon, just Ash's scripted journey."
GBA,pokemon black orb,Pokémon Black Orb (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack where badges come from quests and tasks rather than gyms, with a story about a mysterious black orb and Team Zen."
GBA,pokemon Brutal,Pokémon Brutal,ROM Hack,Pokémon Ruby,"A Ruby hack by Gerokunz adding new characters, events, and Johto/Kanto Pokémon while keeping the core Hoenn story."
GBA,pokemon cawps,Pokémon CAWPS,ROM Hack,Pokémon Emerald,"A mature, realistic Emerald hack set in the gritty 'Outlaw' universe where you play as a police officer."
GBA,pokemon chaos black,Pokémon Chaos Black,ROM Hack,Pokémon FireRed,An infamous bootleg FireRed hack with Fakemon that was sold as a legitimate retail game in stores.
GBA,pokemon clover,Pokémon Clover,ROM Hack,Pokémon FireRed,"A FireRed hack made by 4chan's /vp/ board, packed with crude humor, memes, and 386 original Fakemon."
GBA,pokemon Cosmic-Emerald,Pokémon Cosmic Emerald,ROM Hack,Pokémon Emerald,"A quality-of-life Emerald hack by SkyVortex that keeps the original story but fixes the PRNG glitch, adds more catchable legendaries and day/night events, unlimited TMs, run indoors, and a mild difficulty bump for veterans."
GBA,pokemon crystal dust,Pokémon Crystal Dust,ROM Hack,Pokémon Ruby,"A Ruby-based remake of Gen 2 (Gold/Silver/Crystal), bringing Johto into the Hoenn engine with updated graphics."
GBA,pokemon dark cry giratina,Pokémon Dark Cry: The Legend of Giratina,ROM Hack,Pokémon FireRed,"A dark-themed FireRed hack (Dark Cry: The Legend of Giratina) with a Shadow Plate ritual story, new region, and Fakemon."
GBA,pokemon dark rising,Pokémon Dark Rising,ROM Hack,Pokémon FireRed,"A notoriously difficult FireRed hack with an original region, Fakemon, and a save-the-world plot."
GBA,pokemon dark rising 2,Pokémon Dark Rising 2,ROM Hack,Pokémon FireRed,"The sequel to Dark Rising, continuing the hard-as-nails FireRed-based saga."
GBA,pokemon Dark rising order destroyed,Pokémon Dark Rising: Order Destroyed,ROM Hack,Pokémon FireRed,"An entry in the Dark Rising series, continuing its challenging original storyline."
GBA,pokemon frigo returns,Pokémon Frigo Returns (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack with a frosty winter theme — snowy towns, icy tunnels, and a quest to uncover who 'Frigo' is."
GBA,pokemon fuligin,Pokémon Fuligin,ROM Hack,Pokémon FireRed,"A FireRed hack by Sloo set in Kanto where you're pulled into Team Rocket by your brother and rise through its ranks to eventually lead it; a completed ~30-hour adventure with all Gen 1-3 Pokémon."
GBA,pokemon garys mod,Pokémon Gary's Mod (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack where you play as rival Gary Oak, reliving his untold heroics across Kanto."
GBA,pokemon Giratina strikes back,Pokémon: Giratina Strikes Back (Ruby hack),ROM Hack,Pokémon Ruby,"A Ruby hack set in the Lunoh region with 11 gyms, 65 Fakemon, and a plot to summon Giratina."
GBA,pokemon gs chronicles,Pokémon GS Chronicles,ROM Hack,Pokémon Emerald,An Emerald hack with a Johto-inspired original region and modern features like the Physical/Special split and Fairy type.
GBA,pokemon harvest craft,Pokémon Harvest Craft,ROM Hack,Pokémon Ruby,"A Ruby hack blending Pokémon with Harvest Moon — seasons, farming, and a love/relationship mechanic, with Show Owners replacing gyms."
GBA,pokemon hollow mysteries,Pokémon Hollow Mysteries (FireRed hack),ROM Hack,Pokémon FireRed,"A challenging FireRed hack set in the forgotten Ontak region, a ~25-hour adventure with a darker tone."
GBA,pokemon hyetology,Pokémon Hyetology (Emerald hack),ROM Hack,Pokémon Emerald,"A dark Emerald hack billed as one of the most mature hacks, with a crime story about a deadly Pokémon drug and police investigation."
GBA,pokemon Infernal Legend,Pokémon Infernal Legend (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack set years after Gold's victory, spanning Kanto, Johto, and new regions with sidequests and minigames."
GBA,pokemon jupiter,Pokémon Jupiter,ROM Hack,Pokémon Ruby,"A Ruby hack by Corvus of the Black Night that parodies the Golden Sun games (you play as Ivan, with Golden Sun characters as gym leaders), packed with Fakemon, a telepathy mechanic, and wild cameos like the Mythbusters and Daleks."
GBA,pokemon Korosu,Pokémon Korosu,ROM Hack,Pokémon FireRed,"A dark, violent FireRed revenge hack (the name means 'to kill') inspired by Kill Bill: a kidnapped girl escapes slavery and hunts the criminals who destroyed her family, across the lawless Sevii Islands and a grim post-Outlaw Kanto."
GBA,pokemon leaf yellow,Pokémon LeafYellow (FireRed hack),ROM Hack,Pokémon FireRed,A FireRed hack (LeafYellow) adding new features and content on the Kanto framework.
GBA,pokemon Legend of Fenju,Pokémon Legend of Fenju (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack set in the Chinese-mythology-inspired Fenju region, with a revenge story and village-elder battles instead of gyms."
GBA,pokemon lightning yellow,Pokémon Lightning Yellow,ROM Hack,Pokémon FireRed,"A FireRed hack that recreates Pokémon Yellow, with Pikachu following the player."
GBA,pokemon liquid ocean,Pokémon Liquid Ocean (FireRed hack),ROM Hack,Pokémon FireRed,A FireRed hack by Christos set in the Soala region; a Hack of the Year 2006 winner (left unfinished past the first gym).
GBA,pokemon Mega Power,Pokémon Mega Power,ROM Hack,Pokémon Emerald,"An Emerald hack about creating powerful Pokémon, with an original region and an evil-scientist storyline."
GBA,pokemon Normal,Pokémon Normal Version (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack where nearly every wild encounter is a Normal-type, themed around proving Normal types aren't weak."
GBA,pokemon orange islands,Pokémon: The Orange Islands,ROM Hack,Pokémon FireRed,A FireRed hack recreating the anime's Orange Islands arc.
GBA,pokemon Order and chaos,Pokémon Order and Chaos,ROM Hack,Pokémon FireRed,"A FireRed hack with an original fantasy region and entirely new Fakemon, built over eight years of development."
GBA,pokemon Outlaw,Pokémon Outlaw,ROM Hack,Pokémon FireRed,"A gritty, mature FireRed hack where you play a homeless street kid in a crime-ridden city."
GBA,pokemon psychic  adventures,Pokémon Psychic Adventures,ROM Hack,Pokémon FireRed,A FireRed hack by EViLGRiN with a psychic/mind-bending theme and original story.
GBA,pokemon quartz,Pokémon Quartz,ROM Hack,Pokémon Ruby,"A famously bizarre Ruby hack with surreal fan-made Fakemon and an odd, much-memed translation."
GBA,pokemon quetzal,Pokémon Quetzal,ROM Hack,Pokémon Emerald,"An Emerald hack notable for adding multiplayer co-op, letting friends explore together."
GBA,pokemon red chapters,Pokémon The Red Chapter,ROM Hack,Pokémon FireRed,A FireRed hack based on the Pokémon Adventures manga (the Red/Adventure Chapter).
GBA,pokemon Rescue Rangers,Pokémon Ruby Destiny: Rescue Rangers (Ruby hack),ROM Hack,Pokémon Ruby,"A Ruby hack styled after Pokémon Mystery Dungeon, where you become a Pikachu and join a rescue team."
GBA,pokemon Resolute Version,Pokémon Resolute,ROM Hack,Pokémon Emerald,"An Emerald hack by Wind1158 where you play Logan/Alma battling the resurgent Team Mirage across three regions (Sylon, Tyron, Johto), with Pokémon up to Gen 7 and Mega Evolution."
GBA,pokemon rocket science,Pokémon Rocket Science (FireRed hack),ROM Hack,Pokémon FireRed,A FireRed hack where you play a Team Rocket researcher running missions and experiments for Giovanni.
GBA,pokemon rocket strike,Pokémon Rocket Strike (FireRed hack),ROM Hack,Pokémon FireRed,A FireRed hack telling a Team Rocket-side story across a reimagined Kanto with 380+ Pokémon.
GBA,pokemon ruby Destiny Reign,Pokémon Ruby Destiny: Reign of Legends,ROM Hack,Pokémon Ruby,"The first Ruby Destiny game by destinedjagold, set in the Gento region with a multiple-realities story, Gen 4 Pokémon, custom Pokémon, and Shadow Lugia."
GBA,pokemon ruby Life of Guardians,Pokémon Ruby Destiny: Life of Guardians,ROM Hack,Pokémon Ruby,"The third Ruby Destiny game by destinedjagold, set 10 years later in the Hevah region: a girl chasing her dream of becoming a Guardian Trainer is swept into a fight against the Dark Organization and a world-threatening shadow."
GBA,pokemon Shiny Gold sigma,Pokémon Shiny Gold Sigma,ROM Hack,Pokémon FireRed,"A FireRed remake of Gold/Silver (Johto) by Zel, an updated 'Sigma' version with extra features."
GBA,pokemon Sienna,Pokémon Sienna,ROM Hack,Pokémon FireRed,A FireRed hack set in the Voultan region; popular but never fully completed.
GBA,pokemon Stardrop,Pokémon Stardrop,ROM Hack,Pokémon FireRed,"A FireRed hack by Pokepal17 with a time-travel story and a new region, themed around Suicune, Entei, and Raikou."
GBA,pokemon Terra Ruby,Pokémon Terra Ruby (Ruby hack),ROM Hack,Pokémon Ruby,"A darker reimagining of Hoenn (by DarkDon43) where you play Brendan caught between two warring criminal teams, Ander and Cypher, unraveling secrets around a mysterious figure named Yiki; adds Gen 4-5 Pokémon and a choose-your-order Elite Four."
GBA,pokemon Thunder yellow,Pokémon Thunder Yellow (FireRed hack),ROM Hack,Pokémon FireRed,A FireRed hack that recreates Pokémon Yellow on the GBA engine.
GBA,pokemon Top Secret,Pokémon Top Secret (GBA hack),ROM Hack,Pokémon FireRed,"A FireRed hack by megiddo set across the Orre and X regions, with a spy-style story fighting a mafia organization."
GBA,pokemon topaz,Pokémon Topaz,ROM Hack,Pokémon Ruby,"A Ruby hack by Bazza where you play a Team Rocket recruit stealing badges across the Topaz region; the entire Hoenn dex is replaced with 200+ original Fakemon."
GBA,pokemon Touhou another world,Touhoumon: Another World,ROM Hack,Pokémon FireRed,"A Touhoumon hack (on FireRed) where Pokémon are replaced by Touhou-themed 'puppets', set in a new world."
GBA,pokemon Touhou puppet,Touhoumon (Touhou Puppet Play),ROM Hack,Pokémon FireRed,"The core Touhoumon (Touhou Puppet Play) hack, replacing every Pokémon with a character from the Touhou shooter series."
GBA,pokemon Vega,Pokémon Vega,ROM Hack,Pokémon FireRed,"A FireRed hack with an all-new region and 180+ original Fakemon; originally Japanese, fan-translated to English."
GBA,pokemon Victory Fire,Pokémon Victory Fire,ROM Hack,Pokémon Emerald,A story-driven Emerald hack set in the Tyron region with an original plot.
GBA,pokemon xy,Pokémon X & Y GBA (Emerald hack),ROM Hack,Pokémon Emerald,"An Emerald hack that brings Kalos, Gen 6 Pokémon, and Mega Evolution to the GBA."
GBA,pokemon TCG_1+2,Pokémon Trading Card Game 1 + 2 (multicart),Multicart,TCG 1 (official) + TCG 2 (translation),A multicart combining the GBC Pokémon Trading Card Game with its fan-translated Japan-only sequel — two card-battling RPGs on one cart.
GBA,pokemon blazing emerald,Pokémon Blazing Emerald,ROM Hack,Pokémon Emerald,"An Emerald enhancement hack that expands Hoenn with extra Pokémon, features, and a refreshed experience."
GBA,pokemon eruption,Pokémon Eruption (FireRed hack),ROM Hack,Pokémon FireRed,"A FireRed hack by cooley where you play as Silver, with a new region and mission-based story."
GBA,pokemon light plat,Pokémon Light Platinum,ROM Hack,Pokémon Ruby,"A hugely popular Ruby hack set in the Zhery and Lauren regions, with two leagues and a large adventure."
GBA,pokemon Shiny Gold,Pokémon Shiny Gold,ROM Hack,Pokémon FireRed,A FireRed remake of Pokémon Gold (Johto) by Zel — one of the classic remake hacks.
GBA,pokemon Creepy Black gba,Pokémon Creepy Black (GBA / FireRed version),ROM Hack,Pokémon FireRed,"The GBA/FireRed version of the 'Pokémon Black' creepypasta recreation, with the ghost-and-Curse horror premise."
GBA,pokemon dark cry,Pokémon Dark Cry: The Legend of Giratina,ROM Hack,Pokémon FireRed,"A dark-story FireRed hack (Dark Cry: The Legend of Giratina) involving a Shadow Plate, a new region, and increased difficulty."
GBA,pokemon radical red,Pokémon Radical Red,ROM Hack,Pokémon FireRed,"A modern, extremely difficult FireRed hack with current-gen mechanics, the full National Dex, and a punishing Hardcore mode."
GBA,pokemon Cursed,Pokémon Cursed (FireRed creepypasta hack),ROM Hack,Pokémon FireRed,"A FireRed creepypasta/horror hack centered on a deadly 'Curse' move and a dark, scary atmosphere."
GBA,pokemon emerald rogue,Pokémon Emerald Rogue,ROM Hack,Pokémon Emerald,"A roguelike Emerald hack with randomized, run-based progression and a tough, replayable structure."
GBA,pokemon glazed,Pokémon Glazed,ROM Hack,Pokémon Emerald,"A very popular Emerald hack set in the Tunod region, with cross-generation Pokémon and a sprawling story."
GBA,pokemon snakewood,Pokémon Ruby: Snakewood,ROM Hack,Pokémon Ruby,"A Ruby hack (Ruby: Snakewood) that turns Hoenn into a zombie apocalypse, full of dark and absurd humor."
GBA,pokemon gaia,Pokémon Gaia,ROM Hack,Pokémon FireRed,"An acclaimed FireRed hack set in the Orbtus region, with an ancient-civilization story, polished maps, and modern features."
GBA,pokemon moemon emerald,Moemon Emerald,ROM Hack,Pokémon Emerald,An Emerald 'Moemon' hack that replaces Pokémon sprites with anime-girl personifications.
GBA,FE binding,Fire Emblem: The Binding Blade (fan translation),Translation,,"Fire Emblem: The Binding Blade (FE6), Roy's Japan-only strategy RPG, played in English via fan translation."
GBA,pokemon emerald legacy,Pokémon Emerald Legacy,ROM Hack,Pokémon Emerald,"An Emerald hack that rebalances and streamlines Hoenn for a cleaner, modern playthrough."
GBA,pokemon flora sky,Pokémon Flora Sky,ROM Hack,Pokémon Emerald,"An Emerald hack with an expanded Hoenn, new areas, and a story around sky and time legendaries."
GBA,pokemon liquid crystal,Pokémon Liquid Crystal,ROM Hack,Pokémon FireRed,"A FireRed remake of Pokémon Crystal (Johto), with added islands and extra content."
GBA,pokemon moemon,Moemon FireRed,ROM Hack,Pokémon FireRed,A FireRed 'Moemon' hack replacing Pokémon with cute anime-girl versions.
GBA,pokemon My Ass,Pokémon My Ass Version (FireRed hack),ROM Hack,Pokémon FireRed,A crude comedy FireRed hack with outrageous humor and an offbeat story about a brash playboy trainer.
GBA,pokemon Ultraviolet,Pokémon Ultra Violet,ROM Hack,Pokémon FireRed,"A FireRed hack that improves the base game, making all 386 Pokémon obtainable in one cartridge."
GBA,pokemon emerald kaizo,Pokémon Emerald Kaizo,ROM Hack,Pokémon Emerald,An infamously brutal difficulty hack of Emerald where gym leaders run full competitive teams; a definitive GBA challenge run.
GBA,Mother 1+2,Mother 1+2 (fan translation),Translation,,"A GBA compilation of the first two Mother games (EarthBound Beginnings + EarthBound), quirky turn-based RPGs; Japan-only, fan-translated."
GBA,pokemon fire red rocket,Pokémon FireRed: Rocket Edition (by Colonelsalt),ROM Hack,Pokémon FireRed,A FireRed hack (Rocket Edition by Colonelsalt) where you play a Team Rocket member and can steal Pokémon from defeated trainers.
GBA,pokemon emerald sea glass,Pokémon Emerald Seaglass,ROM Hack,Pokémon Emerald,"An Emerald hack by Nemo622 with a cozy, Game Boy Color-style aesthetic, scuba minigames, and a wishing-well feature."
GBA,pokemon unbound,Pokémon Unbound,ROM Hack,Pokémon FireRed,"A top-tier FireRed hack set in the Borrius region, praised for its rich story, side content, and modern features."
GBA,pokemon super mariomon,Super MarioMon (Emerald hack),ROM Hack,Pokémon Emerald,"An Emerald hack where Mario characters become the catchable 'Mariomon', set in a Mushroom Kingdom region (sponsored by Alpharad)."
GBA,Mother 3,Mother 3 (fan translation),Translation,,"The acclaimed Japan-only sequel to EarthBound, an emotional turn-based RPG, played in English via a renowned fan translation."
Genesis,yuyu hakusho,Yū Yū Hakusho: Makyō Tōitsusen (fan translation),Translation,,"A four-player anime fighting game by Treasure based on Yu Yu Hakusho; Japan-only, played in English via fan translation."
Genesis,Mortal Kombat 2 unlimited,Mortal Kombat II Unlimited (hack),ROM Hack,Mortal Kombat II (Genesis),A hack of Mortal Kombat II that unlocks/restores hidden characters and tweaks the fighting game.
Genesis,Curse,Curse,Translation,,A Japan-only horizontal-scrolling shoot-'em-up; played in English via fan translation.
Genesis,Daze before Christmas,Daze Before Christmas,Import (non-US release),,A festive side-scrolling platformer released in PAL/Australian territories (never in the US).
Genesis,Dragons Lair,Dragon's Lair: The Adventure Continues,Prototype,,"An unreleased Genesis port of Dragon's Lair: The Adventure Continues, a platformer; survives as a leaked prototype."
Genesis,Fido Dido,Fido Dido,Prototype,,A cancelled platformer prototype based on the 7-Up mascot Fido Dido.
Genesis,Golden axe III,Golden Axe III,Import (Japan-only release),,A Japan-only entry in the Golden Axe beat-'em-up series (released in the US only via Sega Channel).
Genesis,Itchy & Scratchy,The Itchy & Scratchy Game,Prototype,,An unreleased Simpsons spin-off platformer (The Itchy & Scratchy Game) that survives only as a prototype.
Genesis,It came from the desert,It Came from the Desert,Prototype,,"A cancelled top-down action game based on the B-movie cult license; near-complete prototype, scrapped over a fatal bug."
Genesis,King Colossus,King Colossus (Kashin Kōrei) (fan translation),Translation,,A Japan-only action-RPG by Sega; played in English via fan translation.
Genesis,Langrisser II,Langrisser II (fan translation),Translation,,A Japan-only tactical strategy RPG; played in English via fan translation.
Genesis,Magic Warrior,Brave Battle Saga: The Legend of the Magic Warrior (fan translation),Translation,,"Brave Battle Saga: The Legend of the Magic Warrior, a Taiwanese Final Fantasy-style RPG; fan-translated to English."
Genesis,Monster World,Monster World IV (fan translation),Translation,,"Monster World IV, a Japan-only action-platformer RPG (later officially localized); played here via fan translation."
Genesis,Nadia,Fushigi no Umi no Nadia (fan translation),Translation,,A Japan-only game based on the anime Nadia: The Secret of Blue Water; played in English via fan translation.
Genesis,Panorama cotton,Panorama Cotton (fan translation),Translation,,A Japan-only behind-the-back rail shooter in the cute 'Cotton' series; fan-translated.
Genesis,pengo,Pengo,Import (Japan-only release),,A Japan-only console port of Sega's classic arcade maze game Pengo.
Genesis,Pulseman,Pulseman,Translation,,"A Game Freak action-platformer with an electric hero; Japan-only (US via Sega Channel), played in English via fan translation."
Genesis,ResQ,ResQ,Prototype,,An unreleased puzzle/rescue game that survives only as a prototype.
Genesis,slap fight,Slap Fight MD,Translation,,"Slap Fight MD, a Japan-only console port of the vertical arcade shoot-'em-up."
Genesis,Snow Bros,Snow Bros.: Nick & Tom,Translation,,"Snow Bros.: Nick & Tom, a Japan-only port of the single-screen arcade platformer."
Genesis,Sonic classic,Sonic Classic Heroes (Sonic 2 hack),ROM Hack,Sonic the Hedgehog 2,"A Sonic 2 hack (Sonic Classic Heroes) that combines Sonic 1 and 2 and lets you play as a team of Sonic, Tails, and Knuckles."
Genesis,Stone Protectors,Stone Protectors,Prototype,,"An unreleased beat-'em-up based on the Stone Protectors cartoon/toy line; completed but never released, leaked as a prototype."
